x,y,z,type
0.0,20.0,0.0,2
0.0,21.0,0.0,2
0.0,26.0,0.0,2
0.0,27.0,0.0,2
0.0,36.0,0.0,2
0.0,42.0,0.0,2
0.0,45.0,0.0,2
0.0,57.0,0.0,2
0.0,66.0,0.0,2
0.0,67.0,0.0,2
0.0,69.0,0.0,2
1.0,26.0,0.0,2
1.0,27.0,0.0,2
1.0,42.0,0.0,2
1.0,45.0,0.0,2
1.0,57.0,0.0,2
1.0,63.0,0.0,2
2.0,6.0,0.0,2
2.0,27.0,0.0,2
2.0,30.0,0.0,2
2.0,67.0,0.0,2
3.0,3.0,0.0,2
3.0,4.0,0.0,2
3.0,5.0,0.0,2
3.0,6.0,0.0,2
4.0,4.0,0.0,2
4.0,5.0,0.0,2
4.0,13.0,0.0,2
4.0,54.0,0.0,2
4.0,55.0,0.0,2
5.0,0.0,0.0,2
5.0,1.0,0.0,2
5.0,2.0,0.0,2
5.0,13.0,0.0,2
5.0,19.0,0.0,2
5.0,22.0,0.0,2
5.0,40.0,0.0,2
5.0,55.0,0.0,2
5.0,65.0,0.0,2
6.0,20.0,0.0,2
6.0,23.0,0.0,2
6.0,36.0,0.0,2
6.0,51.0,0.0,2
6.0,52.0,0.0,2
6.0,54.0,0.0,2
6.0,55.0,0.0,2
6.0,65.0,0.0,2
7.0,14.0,0.0,2
7.0,36.0,0.0,2
7.0,43.0,0.0,2
7.0,49.0,0.0,2
7.0,54.0,0.0,2
7.0,55.0,0.0,2
8.0,36.0,0.0,2
8.0,37.0,0.0,2
8.0,49.0,0.0,2
8.0,54.0,0.0,2
8.0,55.0,0.0,2
8.0,60.0,0.0,2
9.0,26.0,0.0,2
9.0,27.0,0.0,2
9.0,31.0,0.0,2
9.0,49.0,0.0,2
9.0,50.0,0.0,2
9.0,54.0,0.0,2
9.0,55.0,0.0,2
9.0,60.0,0.0,2
9.0,62.0,0.0,2
9.0,63.0,0.0,2
9.0,68.0,0.0,2
10.0,23.0,0.0,2
10.0,26.0,0.0,2
10.0,27.0,0.0,2
10.0,48.0,0.0,2
10.0,49.0,0.0,2
10.0,54.0,0.0,2
10.0,55.0,0.0,2
10.0,59.0,0.0,2
10.0,61.0,0.0,2
10.0,67.0,0.0,2
10.0,68.0,0.0,2
11.0,20.0,0.0,2
11.0,24.0,0.0,2
11.0,25.0,0.0,2
11.0,26.0,0.0,2
11.0,28.0,0.0,2
11.0,37.0,0.0,2
11.0,38.0,0.0,2
11.0,44.0,0.0,2
11.0,48.0,0.0,2
11.0,49.0,0.0,2
11.0,50.0,0.0,2
11.0,53.0,0.0,2
11.0,54.0,0.0,2
11.0,59.0,0.0,2
11.0,66.0,0.0,2
11.0,67.0,0.0,2
12.0,12.0,0.0,2
12.0,13.0,0.0,2
12.0,21.0,0.0,2
12.0,25.0,0.0,2
12.0,26.0,0.0,2
12.0,35.0,0.0,2
12.0,36.0,0.0,2
12.0,37.0,0.0,2
12.0,43.0,0.0,2
12.0,47.0,0.0,2
12.0,48.0,0.0,2
12.0,49.0,0.0,2
12.0,53.0,0.0,2
12.0,54.0,0.0,2
12.0,55.0,0.0,2
12.0,66.0,0.0,2
12.0,67.0,0.0,2
13.0,25.0,0.0,2
13.0,33.0,0.0,2
13.0,35.0,0.0,2
13.0,37.0,0.0,2
13.0,38.0,0.0,2
13.0,39.0,0.0,2
13.0,47.0,0.0,2
13.0,48.0,0.0,2
13.0,53.0,0.0,2
13.0,54.0,0.0,2
13.0,55.0,0.0,2
14.0,20.0,0.0,2
14.0,22.0,0.0,2
14.0,23.0,0.0,2
14.0,33.0,0.0,2
14.0,34.0,0.0,2
14.0,47.0,0.0,2
14.0,53.0,0.0,2
14.0,54.0,0.0,2
14.0,58.0,0.0,2
14.0,60.0,0.0,2
14.0,61.0,0.0,2
14.0,63.0,0.0,2
14.0,64.0,0.0,2
14.0,65.0,0.0,2
15.0,11.0,0.0,2
15.0,17.0,0.0,2
15.0,18.0,0.0,2
15.0,20.0,0.0,2
15.0,26.0,0.0,2
15.0,54.0,0.0,2
15.0,58.0,0.0,2
15.0,63.0,0.0,2
15.0,68.0,0.0,2
16.0,10.0,0.0,2
16.0,11.0,0.0,2
16.0,18.0,0.0,2
16.0,19.0,0.0,2
16.0,20.0,0.0,2
16.0,21.0,0.0,2
16.0,26.0,0.0,2
16.0,32.0,0.0,2
16.0,36.0,0.0,2
16.0,37.0,0.0,2
16.0,43.0,0.0,2
16.0,45.0,0.0,2
16.0,46.0,0.0,2
17.0,9.0,0.0,2
17.0,10.0,0.0,2
17.0,19.0,0.0,2
17.0,20.0,0.0,2
17.0,21.0,0.0,2
17.0,22.0,0.0,2
17.0,26.0,0.0,2
17.0,31.0,0.0,2
17.0,32.0,0.0,2
17.0,37.0,0.0,2
17.0,42.0,0.0,2
17.0,45.0,0.0,2
17.0,53.0,0.0,2
17.0,60.0,0.0,2
17.0,61.0,0.0,2
18.0,20.0,0.0,2
18.0,21.0,0.0,2
18.0,26.0,0.0,2
18.0,27.0,0.0,2
18.0,31.0,0.0,2
18.0,37.0,0.0,2
18.0,42.0,0.0,2
18.0,44.0,0.0,2
18.0,53.0,0.0,2
19.0,20.0,0.0,2
19.0,21.0,0.0,2
19.0,23.0,0.0,2
19.0,26.0,0.0,2
19.0,27.0,0.0,2
19.0,31.0,0.0,2
19.0,37.0,0.0,2
19.0,44.0,0.0,2
19.0,52.0,0.0,2
19.0,53.0,0.0,2
19.0,54.0,0.0,2
20.0,20.0,0.0,2
20.0,21.0,0.0,2
20.0,23.0,0.0,2
20.0,24.0,0.0,2
20.0,31.0,0.0,2
20.0,32.0,0.0,2
20.0,36.0,0.0,2
20.0,40.0,0.0,2
20.0,43.0,0.0,2
20.0,44.0,0.0,2
20.0,51.0,0.0,2
20.0,52.0,0.0,2
20.0,53.0,0.0,2
20.0,54.0,0.0,2
20.0,64.0,0.0,2
21.0,20.0,0.0,2
21.0,24.0,0.0,2
21.0,25.0,0.0,2
21.0,31.0,0.0,2
21.0,32.0,0.0,2
21.0,36.0,0.0,2
21.0,39.0,0.0,2
21.0,40.0,0.0,2
21.0,43.0,0.0,2
21.0,51.0,0.0,2
21.0,52.0,0.0,2
22.0,2.0,0.0,2
22.0,20.0,0.0,2
22.0,25.0,0.0,2
22.0,26.0,0.0,2
22.0,32.0,0.0,2
22.0,39.0,0.0,2
22.0,50.0,0.0,2
22.0,51.0,0.0,2
22.0,55.0,0.0,2
22.0,63.0,0.0,2
22.0,64.0,0.0,2
23.0,0.0,0.0,2
23.0,1.0,0.0,2
23.0,15.0,0.0,2
23.0,20.0,0.0,2
23.0,21.0,0.0,2
23.0,24.0,0.0,2
23.0,26.0,0.0,2
23.0,35.0,0.0,2
23.0,39.0,0.0,2
23.0,50.0,0.0,2
23.0,51.0,0.0,2
23.0,55.0,0.0,2
23.0,63.0,0.0,2
23.0,64.0,0.0,2
23.0,69.0,0.0,2
24.0,8.0,0.0,2
24.0,9.0,0.0,2
24.0,15.0,0.0,2
24.0,16.0,0.0,2
24.0,20.0,0.0,2
24.0,21.0,0.0,2
24.0,22.0,0.0,2
24.0,27.0,0.0,2
24.0,31.0,0.0,2
24.0,35.0,0.0,2
24.0,38.0,0.0,2
24.0,39.0,0.0,2
24.0,40.0,0.0,2
24.0,43.0,0.0,2
24.0,49.0,0.0,2
24.0,50.0,0.0,2
24.0,62.0,0.0,2
24.0,63.0,0.0,2
