0: 807,2484
1: 2,948
2: 1,949
3: 4,12,13
4: 839,3,13
5: 799,951
6: 14,953
7: 2153,15
8: 923,16,955
9: 10,958,2156
10: 9,959
11: 
12: 950,963,3,13,19
13: 19,840,3,4,12
14: 952,965,2157,6,953
15: 954,966,7,2153
16: 955,967,8,2154
17: 957,968,956
18: 947,961,962,25
19: 13,840,841,12,963,972
20: 843,844,1734,964,1735,973
21: 959,969,958,2161,975
22: 23,977,960,970
23: 22,26,1737,24
24: 25,27,961,23
25: 24,978,18,962
26: 23,977,27,987
27: 24,978,26,988
28: 971,980,1741,979,34
29: 974,984,30,996
30: 985,2162,29,38
31: 976,32
32: 33,999,976,1744,31
33: 32,1000,1744,977
34: 1001,1751,28,980,1748
35: 990,1002,981,989
36: 1003,1004,1749,982,41,991
37: 993,1008,983,994
38: 46,30,996
39: 47,998,986,997
40: 990,1002,1003,1014
41: 991,1005,36,1004,1015
42: 992,1006,1007,49,2172
43: 44,995,2166,1019,1020
44: 43,995,2167,1011,1020,1021
45: 996,1011,46,52
46: 38,1012,45,53
47: 39,2171,1023
48: 1024,1753,1001,1751,1013
49: 54,1027,42,1006,2172
50: 1017,1029,1009,1016
51: 56,1019,1010,1018
52: 57,45,1011,53
53: 58,46,52
54: 49,1027,55,1041,1042
55: 1028,2172,54,1042
56: 51,2178,1018,63
57: 52,1030,58,65
58: 53,1031,57,66
59: 1022,1032,1033,67
60: 72,1037,1025,1758,61
61: 73,1038,1758,60
62: 1040,1050,1026,1039
63: 64,75,56,74,1043
64: 63,1054,2178,1044
65: 76,1055,57,66
66: 77,1056,58,65
67: 78,1058,2183,59,2184
68: 79,1059,2184,2181,69
69: 1045,1060,1034,68
70: 81,1046,1035
71: 1036,1049,1048,1773,1065
72: 60,1768,73,85
73: 61,1769,72,85,1066
74: 1043,1053,63,75,90
75: 63,1054,74,91
76: 65,1055,77,93,94
77: 66,1056,76,1072
78: 67,1058,2183,1057,95
79: 68,1059,2184,1058,1073
80: 81,1046,1061,97
81: 70,80,97,1075
82: 1063,1077,1047,100,1064
83: 1065,1079,1049,84,101
84: 85,101,1768,83
85: 84,102,72,73,1066
86: 857,1066,1769,860,1067
87: 88,105,2185,2191
88: 87,1081,1051,1069
89: 1082,2192,1052,1070,2199
90: 107,108,2193,74,91
91: 92,109,75,90,108
92: 91,1084,1054,1071,2200
93: 94,110,2188,76,1055
94: 93,110,111,76,1072
95: 1086,2195,78,2194,2201
96: 113,1074,1061,97
97: 114,1075,80,81,96
98: 1062,1076,99,1087
99: 851,1772,98,1088
100: 1064,1078,82,1077,1089
101: 84,102,83,1079,115
102: 85,101,2412,115,1091
103: 104,1068,2190,1093,117
104: 103,2191,105,1094
105: 87,1081,104,118
106: 1082,2192,2198,1096
107: 90,108,2193,1083,121
108: 90,107,91,109,122
109: 91,1084,108,122,1097
110: 93,94,111,1085,123
111: 94,110,112,1072,124
112: 863,1072,111,125,864
113: 96,114,1100,1101
114: 97,113,1102
115: 1091,1107,1792,101,102,1785
116: 129,1093,1080,1092,1795
117: 1094,1108,103,130,1093
118: 119,1109,105,1094
119: 118,1110,1081,120,1111
120: 1095,1111,2197,119
121: 122,131,107,1112
122: 121,1113,108,109,1097
123: 124,132,1085,110
124: 123,132,133,111,125
125: 864,865,1115,112,124,133
126: 1105,1783,1791,143,1797
127: 1784,1791,128,1122,1123
128: 1090,1106,127,1123,1124
129: 116,130,1795,1126,1127
130: 129,1093,117,1108,1128
131: 121,1113,1112,2208,1132
132: 123,124,133,1114,1133
133: 124,132,125,1115,145,1133
134: 868,2203,1116,146,2211
135: 1098,1116,136,1134
136: 1117,2204,135,1135
137: 138,1099,2205,1117,147
138: 137,2205,139,1100,1136,1137
139: 1100,1101,138,1137,2213
140: 150,1120,1103,1788,1119
141: 142,151,1140,1104,1121
142: 141,151,1104,1790,152,1797
143: 153,1797,126,154,1122
144: 155,1798,1792,1125
145: 1133,1147,133,1115
146: 1148,2210,2216,134,868,2211
147: 1136,1149,1117,137,2212
148: 1138,1150,1118
149: 1119,1139,150,163
150: 140,2415,149,1152
151: 141,142,1140,152,1153
152: 153,1797,142,151,164
153: 143,152,154,164,165
154: 1122,1801,143,153,166
155: 144,1141,1803,168,1155
156: 1126,1142,1805,169,170
157: 1129,1143,158,1158
158: 1144,2207,157,171
159: 1130,1146,1145,1160
160: 161,1131,2208,1146,2222,173
161: 160,2208,1132,1161
162: 163,1165,1139,1151
163: 162,1166,149,1152
164: 165,177,1167,152,153,1153
165: 164,177,153,166,178
166: 167,178,154,1801,165
167: 166,1168,1801,1154,1808
168: 179,1169,1806,155,1141,1155
169: 170,181,156,1142,1156
170: 169,181,1171,156,1805,1157
171: 182,1172,158,1158
172: 183,1159,1145,1160
173: 1161,1173,160,184,2222
174: 185,1174,1147,2215,1162
175: 1163,1175,2217,176
176: 1164,1176,2218,175
177: 164,165,1167,178,186,1811
178: 166,1168,165,177,187
179: 168,1169,180,1155,189
180: 1155,1170,1807,179,190
181: 169,170,1171,1810,191
182: 171,1172,1158,1179,192
183: 172,2225,2226,1181
184: 2222,2226,173,1173,193
185: 174,1174,2227,194,195
186: 197,1811,177,187,198
187: 198,1812,178,1168,186
188: 199,200,1177,1808,1812
189: 1188,1813,179,190
190: 1189,2427,180,189
191: 201,202,1814,181,1178
192: 1192,2428,182,203,1179
193: 206,2229,184
194: 207,208,1182,2227,185,195
195: 196,209,185,194,208
196: 195,210,1174,1183
197: 186,1185,198,212,1819
198: 187,1186,1812,186,197,212,1200
199: 188,200,1186,213,1201
200: 188,199,1177,1187,1813,213
201: 191,202,1178,1817,215
202: 191,201,1814,1190,215,216
203: 1179,1191,192,1192,217
204: 1180,1193,1194,218,219
205: 206,2229,2231,931,220
206: 193,205,1195,220,1204
207: 194,208,1182,1196,221
208: 194,207,195,209,222
209: 195,210,208,1205,1206
210: 196,209,1206,2236
211: 1184,1197,1198,1207
212: 224,1819,197,198,1200,1827
213: 1201,1210,199,200,214,225
214: 225,226,1820,1187,213
215: 216,1212,201,202,1202
216: 215,227,202,1190,1822
217: 1214,1215,203,1191,2234
218: 219,228,1216,204,1193,1203
219: 218,1216,204,1194
220: 1204,1217,205,206,931
221: 222,230,207,229,2235
222: 221,230,1219,208,1205
223: 1199,1823,1208,1818,235,1222
224: 212,1209,1827,237,238
225: 214,226,213,1210,239,1226
226: 214,225,1820,1211,240,1226
227: 216,1212,1213,1227,1839
228: 218,1216,1203,1229,242
229: 1218,2235,221,230,243
230: 221,222,1219,229,244
231: 2236,1206,1230,245
232: 233,2237,1220,246
233: 232,1207,1221,247
234: 928,235,1232
235: 1222,1232,223,1823,234
236: 251,252,1224,929,1832
237: 253,1237,1834,224,1209,238
238: 254,1225,224,1827,237
239: 1239,1835,1210,225,1226,1845
240: 1226,1240,226,1211,256,1836
241: 258,1214,1215,1228
242: 260,261,2241,228,1216,1229
243: 263,264,2243,229,244
244: 1247,230,243
245: 869,1249,231,1230
246: 247,266,232,265,2244
247: 246,1251,233
248: 268,267,1231
249: 1223,1842,250,271,272
250: 1234,1830,249,273
251: 236,252,1235,1832,1256
252: 236,251,1224,1236,275
253: 237,1237,254,278,279
254: 238,255,253,1257
255: 254,1225,1238,1258
256: 1241,1836,240,1240,281
257: 1839,1847,1242,1853,283
258: 241,1243,2245,1261,2248
259: 1229,2240,260,285
260: 242,261,259,285,286
261: 242,260,2241,1244,287
262: 1245,2242,1263,1264
263: 243,264,2243,1246,289
264: 243,263,1247,290
265: 1250,2244,246,266,293,294
